City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
425,tumen,61,CN,1560162685,94,42.97,129.84,51.38,4.38
426,port-cartier,40,CA,1560162686,53,50.03,-66.88,51.8,4.7
427,tokonou,92,GN,1560162686,68,9.65,-9.78,83.42,5.26
428,fairbanks,1,US,1560162686,87,64.84,-147.72,54.0,0.89
429,lazaro cardenas,100,MX,1560162687,60,28.39,-105.62,72.0,5.01
430,palmerston north,67,NZ,1560162649,88,-40.35,175.62,54.0,1.01
431,hornepayne,100,CA,1560162687,95,49.22,-84.78,53.18,9.15
432,escalerillas,40,MX,1560162688,50,19.14,-100.12,60.01,5.82
433,akonolinga,87,CM,1560162688,59,3.77,12.24,84.32,3.13
434,biryusinsk,100,RU,1560162688,84,55.96,97.82,60.74,8.39
435,lucapa,0,AO,1560162689,22,-8.42,20.74,87.92,7.85
436,porbandar,24,IN,1560162689,88,21.64,69.61,85.22,13.94
437,la asuncion,80,EC,1560162689,84,-1.64,-78.74,44.54,7.23
438,tual,100,ID,1560162690,82,-5.67,132.75,83.24,15.99
439,santa maria,0,BR,1560162691,82,-29.69,-53.81,64.4,5.82
440,ayan,94,TR,1560162691,48,40.67,33.6,74.78,1.63
441,awjilah,0,LY,1560162692,19,29.14,21.3,96.2,14.29
442,outram,62,NZ,1560162692,80,-45.86,170.23,50.0,11.01
443,paita,0,PE,1560162692,92,-5.09,-81.11,67.04,13.27
444,stromness,75,CA,1560162693,93,42.87,-79.55,68.0,12.75
445,san andres,100,PH,1560162693,88,13.32,122.68,80.36,5.84
446,flin flon,3,CA,1560162693,55,54.77,-101.88,41.3,5.01
447,wundanyi,86,KE,1560162694,47,-3.4,38.37,76.76,9.28
448,bangil,34,ID,1560162694,67,-7.6,112.78,79.1,3.51
449,ossora,96,RU,1560162695,95,59.24,163.07,42.2,3.8
450,rio gallegos,0,AR,1560162695,86,-51.62,-69.22,30.2,17.22
451,akim swedru,91,GH,1560162695,87,5.89,-1.02,81.44,4.0
452,cap malheureux,90,MU,1560162696,78,-19.98,57.61,77.0,10.29
453,tecolutla,69,MX,1560162696,90,17.31,-98.74,62.18,0.89
454,lorengau,40,PG,1560162697,86,-2.02,147.27,80.72,5.86
455,arsk,0,RU,1560162697,28,56.09,49.88,86.0,8.95
456,la cruz,36,MX,1560162698,94,23.92,-106.89,75.0,2.48
457,zyryanovsk,78,KZ,1560162698,81,49.74,84.27,56.06,3.33
458,tongliao,75,CN,1560162433,41,43.61,122.27,78.52,3.83
459,indramayu,71,ID,1560162698,81,-4.05,103.78,74.6,2.01
460,nizhniy tsasuchey,44,RU,1560162699,52,50.52,115.13,74.24,6.04
461,dukat,0,RS,1560162699,45,42.44,22.31,81.0,5.99
462,khuzhir,0,RU,1560162699,42,53.19,107.35,70.1,5.1
463,ritchie,0,ZA,1560162700,43,-29.03,24.6,69.8,13.87
464,brae,40,GB,1560162700,87,60.4,-1.35,50.0,14.99
465,ahipara,60,NZ,1560162701,68,-35.17,173.16,59.48,2.84
466,skjervoy,100,NO,1560162701,78,70.03,20.97,40.94,17.31
467,tadine,0,NC,1560162701,70,-21.55,167.88,72.8,12.44
468,hovd,75,NO,1560162702,76,63.83,10.7,55.99,4.7
469,slave lake,40,CA,1560162702,62,55.28,-114.77,53.6,5.82
